greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
ημερας	G2250	N-GSF	354	ēmeras	ημερα	day, i.e. (literally) the time space between dawn and dark, or the whole 24 hours (but several days were usually reckoned by the Jews as inclusive of the parts of both extremes); figuratively, a period (always defined more or less clearly by the context)	154	(2, 3, 59)	(2, 7, 11)	(250, 501, 204, 613, 158, 792, 145, 867, 219, 573, 113, 1112)	(109, 218, 89, 267, 69, 344, 63, 377, 95, 249, 49, 484)	4:8, 7:15, 11:3, 11:9, 11:11, 12:6, 12:10, 14:11, 16:14, 20:10, 21:25
νυκτος	G3571	N-GSF	1040	nuktos	νυξ	night (literally or figuratively)	510	(2, 5, 13)	(2, 3, 5, 17)	(735, 1471, 600, 1801, 465, 2326, 425, 2547, 643, 1683, 331, 3267)	(361, 721, 294, 883, 228, 1140, 208, 1249, 315, 825, 162, 1602)	4:8, 7:15, 12:10, 14:11, 20:10
ενικησαν	G3528	V-AAI-3P	344	enikēsan	νικαω	to subdue (literally or figuratively)	881	(2, 43)	(881,)	(243, 486, 199, 596, 154, 769, 140, 843, 213, 557, 109, 1081)	(623, 1246, 509, 1526, 394, 1970, 360, 2158, 544, 1425, 280, 2768)	12:11
αιμα	G129	N-ASN	52	aima	αιμα	blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred	52	(2, 13)	(2, 13)	(37, 74, 30, 90, 23, 116, 21, 127, 32, 84, 17, 163)	(37, 74, 30, 90, 23, 116, 21, 127, 32, 84, 17, 163)	6:10, 6:12, 8:8, 11:6, 12:11, 14:20, 16:3, 16:4, 16:6, 18:24, 19:2
αρνιου	G721	N-GSN	631	arniou	αρνιον	a lambkin	281	(631,)	(281,)	(446, 892, 364, 1093, 282, 1411, 258, 1546, 390, 1021, 201, 1982)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	5:8, 6:16, 7:9, 7:14, 12:11, 13:8, 14:10, 15:3, 17:14, 19:7, 19:9, 21:9, 21:14, 21:27, 22:1, 22:3
λογον	G3056	N-ASM	223	logon	λογος	something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation; specially, (with the article in John) the Divine Expression (i.e. Christ)	373	(223,)	(373,)	(158, 315, 129, 386, 100, 499, 91, 546, 138, 361, 71, 701)	(264, 528, 215, 646, 167, 834, 152, 914, 231, 604, 119, 1172)	1:2, 1:9, 3:8, 3:10, 6:9, 12:11, 20:4
μαρτυριας	G3141	N-GSF	1152	marturias	μαρτυρια	evidence given (judicially or genitive case)	952	(2, 3)	(2, 7, 17)	(815, 1629, 665, 1995, 515, 2576, 470, 2822, 712, 1864, 367, 3619)	(673, 1346, 550, 1649, 426, 2129, 389, 2332, 588, 1540, 303, 2991)	12:11
ηγαπησαν	G25	V-AAI-3P	351	ēgapēsan	αγαπαω	to love (in a social or moral sense)	886	(3, 13)	(2, 443)	(248, 496, 203, 608, 157, 785, 143, 860, 217, 568, 112, 1103)	(626, 1253, 512, 1535, 396, 1981, 362, 2170, 548, 1434, 282, 2783)	12:11
ψυχην	G5590	N-ASF	1758	psuxēn	ψυχη	breath, i.e. (by implication) spirit, abstractly or concretely (the animal sentient principle only; thus distinguished on the one hand from G4151 (ψυχή), which is the rational and immortal soul; and on the other from G2222 (ψυχή), which is mere vitality, even of plants: these terms thus exactly correspond respectively to the Hebrew H05315, H07307 and H02416)	1708	(2, 3, 293)	(2, 7, 61)	(1243, 2486, 1015, 3045, 786, 3931, 718, 4306, 1087, 2845, 560, 5523)	(1208, 2415, 986, 2958, 764, 3819, 697, 4184, 1056, 2764, 544, 5366)	12:11
θανατου	G2288	N-GSM	831	thanatou	θανατος	(properly, an adjective used as a noun) death (literally or figuratively)	631	(3, 277)	(631,)	(588, 1175, 480, 1439, 372, 1858, 339, 2036, 514, 1345, 265, 2611)	(446, 892, 364, 1093, 282, 1411, 258, 1546, 390, 1021, 201, 1982)	1:18, 2:10, 2:11, 12:11, 13:3, 13:12
ευφραινεσθε	G2165	V-PPM-2P	1285	eufrainesthe	ευφραινω	to put (middle voice or passively, be) in a good frame of mind, i.e. rejoice	1866	(5, 257)	(2, 3, 311)	(909, 1817, 742, 2226, 575, 2873, 525, 3148, 794, 2079, 409, 4037)	(1319, 2639, 1077, 3232, 835, 4173, 762, 4571, 1153, 3019, 594, 5862)	12:12
ουρανοι	G3772	N-NPM	701	ouranoi	ουρανος	the sky; by extension, heaven (as the abode of God); by implication, happiness, power, eternity; specially, the Gospel (Christianity)	891	(701,)	(3, 11)	(496, 991, 405, 1214, 313, 1567, 286, 1717, 433, 1134, 223, 2202)	(630, 1260, 514, 1543, 398, 1992, 364, 2182, 551, 1442, 284, 2799)	12:12
σκηνουντες	G4637	V-PAP-NPM	1303	skēnountes	σκηνοω	to tent or encamp, i.e. (figuratively) to occupy (as a mansion) or (specially), to reside (as God did in the Tabernacle of old, a symbol of protection and communion)	1148	(1303,)	(2, 7, 41)	(921, 1843, 752, 2257, 583, 2914, 532, 3192, 805, 2108, 415, 4093)	(812, 1624, 663, 1988, 513, 2567, 469, 2812, 710, 1858, 365, 3607)	12:12
κατοικουσιν	G2730	V-PAP-DPM	1151	katoikousin	κατοικεω	to house permanently, i.e. reside (literally or figuratively)	1226	(1151,)	(2, 613)	(814, 1628, 665, 1994, 515, 2574, 470, 2819, 711, 1862, 366, 3616)	(867, 1734, 708, 2123, 548, 2741, 501, 3003, 758, 1984, 390, 3852)	8:13, 12:12, 13:14
γην	G1093	N-ASF	61	gēn	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(61,)	(11,)	(43, 86, 35, 106, 27, 136, 25, 149, 38, 99, 19, 192)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	5:6, 6:13, 7:2, 7:3, 8:5, 8:7, 9:1, 9:3, 10:2, 10:6, 11:6, 11:18, 12:4, 12:9, 12:12, 12:13, 13:12, 13:13, 14:7, 14:16, 14:19, 16:1, 16:2, 17:2, 19:2, 21:1
θαλασσαν	G2281	N-ASF	492	thalassan	θαλασσα	the sea (genitive case or specially)	442	(2, 3, 41)	(2, 13, 17)	(348, 696, 284, 852, 220, 1100, 201, 1205, 304, 796, 157, 1546)	(313, 625, 255, 766, 198, 988, 180, 1083, 273, 715, 141, 1389)	7:2, 7:3, 8:8, 10:2, 10:6, 12:12, 14:7, 15:2, 16:3, 18:17, 18:21
κατεβη	G2597	V-2AAI-3S	336	katebē	καταβαινω	to descend (literally or figuratively)	1185	(2, 3, 7)	(3, 5, 79)	(238, 475, 194, 582, 150, 751, 137, 823, 208, 544, 107, 1056)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	12:12, 20:9
διαβολος	G1228	A-NSM	387	diabolos	διαβολος	a traducer; specially, Satan (compare H07854)	387	(3, 43)	(3, 43)	(274, 547, 223, 670, 173, 865, 158, 948, 239, 626, 123, 1216)	(274, 547, 223, 670, 173, 865, 158, 948, 239, 626, 123, 1216)	2:10, 12:9, 12:12, 20:2, 20:10
εχων	G2192	V-PAP-NSM	1455	exōn	σχεω	to hold (used in very various applications, literally or figuratively, direct or remote; such as possession; ability, contiuity, relation, or condition)	1605	(3, 5, 97)	(3, 5, 107)	(1029, 2058, 840, 2520, 651, 3253, 594, 3564, 899, 2354, 463, 4571)	(1135, 2270, 927, 2780, 718, 3589, 655, 3931, 992, 2597, 511, 5042)	1:16, 2:7, 2:11, 2:12, 2:17, 2:18, 2:29, 3:1, 3:6, 3:7, 3:13, 3:22, 6:2, 6:5, 8:3, 12:3, 12:12, 13:17, 13:18, 14:14, 14:17, 14:18, 17:9, 19:12, 20:6
θυμον	G2372	N-ASM	569	thumon	θυμος	passion (as if breathing hard)	719	(569,)	(719,)	(402, 805, 329, 986, 254, 1272, 232, 1394, 352, 921, 181, 1788)	(508, 1017, 415, 1245, 322, 1608, 294, 1761, 444, 1163, 229, 2259)	12:12
μεγαν	G3173	A-ASM	99	megan	μεγας	big (literally or figuratively, in a very wide application)	249	(3, 11)	(3, 83)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	(176, 352, 144, 431, 111, 557, 102, 610, 154, 403, 79, 782)	12:12, 16:12, 18:21, 20:11
ειδως	G1492	V-RAP-NSM	1019	eidōs	ειδω	used only in certain past tenses, the others being borrowed from the equivalent G3700 (εἴδω) and G3708 (εἴδω); properly, to see (literally or figuratively); by implication, (in the perfect tense only) to know	819	(1019,)	(3, 7, 13)	(721, 1441, 588, 1765, 456, 2279, 416, 2496, 630, 1649, 324, 3201)	(579, 1158, 473, 1419, 366, 1831, 334, 2006, 506, 1325, 261, 2573)	12:12
ολιγον	G3641	ADV	233	oligon	ολιγος	puny (in extent, degree, number, duration or value); especially neuter (adverbially) somewhat	383	(233,)	(383,)	(165, 330, 135, 404, 104, 521, 95, 571, 144, 377, 74, 732)	(271, 542, 221, 663, 171, 856, 156, 938, 237, 620, 122, 1203)	12:12, 17:10
καιρον	G2540	N-ASM	251	kairon	καιρος	an occasion, i.e. set or proper time	401	(251,)	(401,)	(177, 355, 145, 435, 112, 561, 102, 615, 155, 406, 80, 789)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	12:12, 12:14
εχει	G2192	V-PAI-3S	620	exei	σχεω	to hold (used in very various applications, literally or figuratively, direct or remote; such as possession; ability, contiuity, relation, or condition)	1605	(2, 5, 31)	(3, 5, 107)	(438, 877, 358, 1074, 277, 1386, 253, 1519, 383, 1003, 197, 1948)	(1135, 2270, 927, 2780, 718, 3589, 655, 3931, 992, 2597, 511, 5042)	9:11, 12:6, 12:12, 13:9, 13:14, 19:16, 20:6, 21:23
οτε	G3753	ADV	375	ote	οτε	at which (thing) too, i.e. when	375	(3, 5)	(3, 5)	(265, 530, 217, 650, 168, 839, 153, 919, 232, 607, 119, 1178)	(265, 530, 217, 650, 168, 839, 153, 919, 232, 607, 119, 1178)	1:17, 5:8, 6:1, 6:3, 6:5, 6:7, 6:9, 6:12, 8:1, 10:3, 10:4, 10:10, 12:13, 22:8
ειδεν	G1492	V-2AAI-3S	74	eiden	ειδω	used only in certain past tenses, the others being borrowed from the equivalent G3700 (εἴδω) and G3708 (εἴδω); properly, to see (literally or figuratively); by implication, (in the perfect tense only) to know	819	(2, 37)	(3, 7, 13)	(52, 105, 43, 128, 33, 165, 30, 181, 46, 120, 24, 232)	(579, 1158, 473, 1419, 366, 1831, 334, 2006, 506, 1325, 261, 2573)	1:2, 12:13
δρακων	G1404	N-NSM	975	drakōn	δρακων	a fabulous kind of serpent (perhaps as supposed to fascinate)	975	(3, 5, 13)	(3, 5, 13)	(689, 1379, 563, 1689, 436, 2180, 398, 2388, 603, 1578, 310, 3063)	(689, 1379, 563, 1689, 436, 2180, 398, 2388, 603, 1578, 310, 3063)	12:3, 12:4, 12:7, 12:9, 12:13, 12:16, 12:17, 13:2, 13:11
εβληθη	G906	V-API-3S	62	eblēthē	βαλλω	to throw (in various applications, more or less violent or intense)	863	(2, 31)	(863,)	(44, 88, 36, 107, 28, 139, 25, 152, 38, 100, 20, 195)	(610, 1220, 498, 1495, 386, 1930, 352, 2114, 533, 1396, 275, 2711)	8:7, 8:8, 12:9, 12:13, 20:10, 20:15
γην	G1093	N-ASF	61	gēn	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(61,)	(11,)	(43, 86, 35, 106, 27, 136, 25, 149, 38, 99, 19, 192)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	5:6, 6:13, 7:2, 7:3, 8:5, 8:7, 9:1, 9:3, 10:2, 10:6, 11:6, 11:18, 12:4, 12:9, 12:12, 12:13, 13:12, 13:13, 14:7, 14:16, 14:19, 16:1, 16:2, 17:2, 19:2, 21:1
εδιωξεν	G1377	V-AAI-3S	934	ediōcen	διωκω	compare the base of G1169 (διώκω) and G1249 (διώκω)); to pursue (literally or figuratively); by implication, to persecute	1634	(2, 467)	(2, 19, 43)	(660, 1321, 539, 1618, 418, 2088, 381, 2288, 577, 1511, 297, 2934)	(1155, 2311, 943, 2830, 731, 3654, 667, 4002, 1010, 2644, 520, 5133)	12:13
γυναικα	G1135	N-ASF	485	gunaika	γυνη	a woman; specially, a wife	461	(5, 97)	(461,)	(343, 686, 280, 840, 217, 1084, 198, 1188, 300, 785, 154, 1524)	(326, 652, 266, 798, 206, 1031, 188, 1129, 285, 746, 147, 1448)	2:20, 12:13, 17:3, 17:6, 21:9
ετεκεν	G5088	V-2AAI-3S	385	eteken	τικτω	to produce (from seed, as a mother, a plant, the earth, etc.), literally or figuratively	1430	(5, 7, 11)	(2, 5, 11, 13)	(272, 544, 222, 667, 172, 861, 157, 943, 238, 623, 123, 1210)	(1011, 2022, 826, 2477, 640, 3198, 584, 3503, 884, 2314, 455, 4492)	12:5, 12:13
αρρενα	G730	N-ASM	257	arrena	αρσην	male (as stronger for lifting)	359	(257,)	(359,)	(182, 363, 148, 445, 115, 575, 105, 630, 159, 416, 82, 807)	(254, 508, 207, 622, 161, 803, 147, 879, 222, 581, 114, 1128)	12:5, 12:13
εδοθησαν	G1325	V-API-3P	347	edothēsan	διδωμι	to give (used in a very wide application, properly, or by implication, literally or figuratively; greatly modified by the connection)	868	(347,)	(2, 7, 31)	(245, 491, 200, 601, 155, 776, 142, 850, 214, 561, 110, 1090)	(614, 1228, 501, 1503, 388, 1941, 354, 2126, 536, 1404, 276, 2727)	6:11, 8:2, 12:14
γυναικι	G1135	N-DSF	494	gunaiki	γυνη	a woman; specially, a wife	461	(2, 13, 19)	(461,)	(349, 699, 285, 856, 221, 1105, 202, 1210, 305, 799, 157, 1552)	(326, 652, 266, 798, 206, 1031, 188, 1129, 285, 746, 147, 1448)	12:14, 12:16, 12:17
δυο	G1417	A-NUI	474	duo	δυο	two	474	(2, 3, 79)	(2, 3, 79)	(335, 670, 274, 821, 212, 1060, 194, 1161, 293, 767, 151, 1489)	(335, 670, 274, 821, 212, 1060, 194, 1161, 293, 767, 151, 1489)	9:12, 9:16, 11:2, 11:4, 11:10, 12:14, 13:5, 13:11, 19:20
πτερυγες	G4420	N-NPF	1093	pteruges	πτερυξ	a wing	945	(1093,)	(3, 5, 7)	(773, 1546, 631, 1893, 489, 2444, 446, 2677, 676, 1769, 348, 3434)	(668, 1336, 546, 1637, 423, 2113, 386, 2315, 584, 1529, 301, 2969)	12:14
αετου	G105	N-GSM	776	aetou	αετος	an eagle (from its wind-like flight)	576	(2, 97)	(2, 3)	(549, 1097, 448, 1344, 347, 1735, 317, 1901, 480, 1256, 247, 2438)	(407, 815, 333, 998, 258, 1288, 235, 1411, 356, 932, 183, 1810)	12:14
μεγαλου	G3173	A-GSM	549	megalou	μεγας	big (literally or figuratively, in a very wide application)	249	(3, 61)	(3, 83)	(388, 776, 317, 951, 246, 1228, 224, 1345, 339, 888, 175, 1725)	(176, 352, 144, 431, 111, 557, 102, 610, 154, 403, 79, 782)	6:13, 12:14, 19:17
πετηται	G4072	V-PNS-3S	704	petētai	πταομαι	to fly	502	(2, 11)	(2, 251)	(498, 996, 406, 1219, 315, 1574, 287, 1724, 435, 1139, 224, 2212)	(355, 710, 290, 869, 225, 1123, 205, 1230, 310, 812, 160, 1577)	12:14
ερημον	G2048	A-ASM	273	erēmon	ερημος	lonesome	423	(3, 7, 13)	(3, 47)	(193, 386, 158, 473, 122, 610, 111, 669, 169, 442, 87, 858)	(299, 598, 244, 733, 189, 946, 173, 1036, 261, 684, 135, 1329)	12:6, 12:14, 17:3
τοπον	G5117	N-ASM	570	topon	τοπος	a spot (general in space, but limited by occupancy; whereas G5561 (τόπος) is a large but participle locality), i.e. location (as a position, home, tract, etc.); figuratively, condition, opportunity; specially, a scabbard	720	(2, 3, 5, 19)	(2, 3, 5)	(403, 806, 329, 987, 255, 1275, 233, 1396, 352, 922, 181, 1791)	(509, 1018, 416, 1247, 322, 1610, 294, 1764, 445, 1165, 229, 2262)	12:6, 12:14, 16:16
οπου	G3699	ADV	620	opou	οπου	what(-ever) where, i.e. at whichever spot	620	(2, 5, 31)	(2, 5, 31)	(438, 877, 358, 1074, 277, 1386, 253, 1519, 383, 1003, 197, 1948)	(438, 877, 358, 1074, 277, 1386, 253, 1519, 383, 1003, 197, 1948)	2:13, 11:8, 12:6, 12:14, 14:4, 17:9, 20:10
τρεφεται	G5142	V-PPI-3S	1221	trefetai	τρεφω	but perhaps strengthened from the base of G5157 (τρέφω) through the idea of convolution); properly, to stiffen, i.e. fatten (by implication, to cherish (with food, etc.), pamper, rear)	1705	(3, 11, 37)	(5, 11, 31)	(863, 1727, 705, 2115, 546, 2730, 498, 2991, 755, 1976, 389, 3836)	(1206, 2411, 984, 2953, 762, 3812, 696, 4176, 1054, 2759, 543, 5356)	12:14
εκει	G1563	ADV	40	ekei	εκει	there; by extension, thither	40	(2, 5)	(2, 5)	(28, 57, 23, 69, 18, 89, 16, 98, 25, 65, 13, 126)	(28, 57, 23, 69, 18, 89, 16, 98, 25, 65, 13, 126)	2:14, 12:6, 12:14, 21:25, 22:5
καιρον	G2540	N-ASM	251	kairon	καιρος	an occasion, i.e. set or proper time	401	(251,)	(401,)	(177, 355, 145, 435, 112, 561, 102, 615, 155, 406, 80, 789)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	12:12, 12:14
καιρους	G2540	N-APM	801	kairous	καιρος	an occasion, i.e. set or proper time	401	(3, 89)	(401,)	(566, 1133, 462, 1387, 358, 1791, 327, 1962, 495, 1296, 255, 2516)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	12:14
ημισυ	G2255	A-ASN	658	ēmisu	ημισυ	(as noun) half	658	(2, 7, 47)	(2, 7, 47)	(465, 931, 380, 1140, 294, 1471, 269, 1612, 407, 1065, 209, 2067)	(465, 931, 380, 1140, 294, 1471, 269, 1612, 407, 1065, 209, 2067)	11:9, 11:11, 12:14
καιρου	G2540	N-GSM	601	kairou	καιρος	an occasion, i.e. set or proper time	401	(601,)	(401,)	(425, 850, 347, 1041, 269, 1344, 245, 1472, 371, 972, 191, 1888)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	12:14
προσωπου	G4383	N-GSN	1800	prosōpou	προσωπον	the front (as being towards view), i.e. the countenance, aspect, appearance, surface; by implication, presence, person	1450	(2, 3, 5)	(2, 5, 29)	(1273, 2546, 1039, 3118, 805, 4025, 735, 4409, 1112, 2912, 573, 5655)	(1025, 2051, 837, 2511, 648, 3242, 592, 3552, 896, 2346, 462, 4555)	6:16, 12:14, 20:11
οφεως	G3789	N-GSM	1575	ofeōs	οφις	a snake, figuratively, (as a type of sly cunning) an artful malicious person, especially Satan	780	(3, 5, 7)	(2, 3, 5, 13)	(1114, 2227, 909, 2728, 704, 3522, 643, 3858, 973, 2548, 501, 4948)	(552, 1103, 450, 1351, 349, 1744, 318, 1911, 482, 1262, 248, 2450)	12:14
εβαλεν	G906	V-2AAI-3S	93	ebalen	βαλλω	to throw (in various applications, more or less violent or intense)	863	(3, 31)	(863,)	(66, 132, 54, 161, 42, 208, 38, 228, 57, 150, 30, 292)	(610, 1220, 498, 1495, 386, 1930, 352, 2114, 533, 1396, 275, 2711)	8:5, 12:4, 12:15, 12:16, 14:16, 14:19, 18:21, 20:3
οφις	G3789	N-NSM	780	ofis	οφις	a snake, figuratively, (as a type of sly cunning) an artful malicious person, especially Satan	780	(2, 3, 5, 13)	(2, 3, 5, 13)	(552, 1103, 450, 1351, 349, 1744, 318, 1911, 482, 1262, 248, 2450)	(552, 1103, 450, 1351, 349, 1744, 318, 1911, 482, 1262, 248, 2450)	12:9, 12:15
οπισω	G3694	ADV	1160	opisō	οπισω	to the back, i.e. aback (as adverb or preposition of time or place; or as noun)	1160	(2, 5, 29)	(2, 5, 29)	(820, 1640, 670, 2009, 519, 2594, 474, 2841, 717, 1877, 369, 3644)	(820, 1640, 670, 2009, 519, 2594, 474, 2841, 717, 1877, 369, 3644)	1:10, 12:15, 13:3
γυναικος	G1135	N-GSF	754	gunaikos	γυνη	a woman; specially, a wife	461	(2, 13, 29)	(461,)	(533, 1066, 435, 1306, 337, 1686, 308, 1847, 466, 1220, 240, 2369)	(326, 652, 266, 798, 206, 1031, 188, 1129, 285, 746, 147, 1448)	12:4, 12:15, 17:7
στοματος	G4750	N-GSN	1181	stomatos	στομα	the mouth (as if a gash in the face); by implication, language (and its relations); figuratively, an opening (in the earth); specially, the front or edge (of a weapon)	611	(1181,)	(13, 47)	(835, 1670, 682, 2046, 528, 2641, 482, 2893, 730, 1911, 376, 3710)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	1:16, 2:16, 3:16, 11:5, 12:15, 12:16, 16:13, 19:15, 19:21
υδωρ	G5204	N-ASN	1304	udōr	υδατος	water (as if rainy) literally or figuratively	975	(2, 163)	(3, 5, 13)	(922, 1844, 753, 2259, 583, 2916, 532, 3194, 806, 2110, 415, 4097)	(689, 1379, 563, 1689, 436, 2180, 398, 2388, 603, 1578, 310, 3063)	12:15, 16:12, 22:17
ως	G5613	ADV	1000	ōs	ως	which how, i.e. in that manner (very variously used, as follows)	1000	(2, 5)	(2, 5)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	1:10, 1:14, 1:15, 1:16, 1:17, 2:18, 2:24, 2:27, 3:3, 3:21, 4:1, 4:7, 5:6, 6:1, 6:11, 6:12, 6:13, 6:14, 8:1, 8:8, 8:10, 9:2, 9:3, 9:5, 9:7, 9:8, 9:9, 9:17, 10:1, 10:7, 10:9, 10:10, 12:15, 13:2, 13:3, 13:11, 14:2, 14:3, 15:2, 16:3, 16:15, 16:21, 17:12, 18:6, 18:21, 19:6, 19:12, 20:8, 21:2, 21:11, 21:21, 22:1, 22:12
ποταμον	G4215	N-ASM	611	potamon	ποταμος	a current, brook or freshet (as drinkable), i.e. running water	761	(13, 47)	(761,)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	(538, 1076, 439, 1318, 340, 1702, 311, 1864, 470, 1231, 242, 2391)	12:15, 12:16, 16:12, 22:1
ποταμοφορητον	G4216	A-ASF	1659	potamoforēton	ποταμοφορητος	river-borne, i.e. overwhelmed by a stream	1809	(3, 7, 79)	(3, 67)	(1173, 2346, 958, 2873, 742, 3710, 677, 4064, 1025, 2684, 528, 5212)	(1279, 2558, 1044, 3133, 809, 4045, 739, 4431, 1118, 2927, 576, 5683)	12:15
ποιηση	G4160	V-AAS-3S	376	poiēsē	ποιεω	to make or do (in a very wide application, more or less direct)	965	(2, 47)	(5, 193)	(266, 532, 217, 651, 168, 841, 154, 921, 232, 608, 120, 1181)	(682, 1365, 557, 1671, 432, 2158, 394, 2364, 596, 1561, 307, 3032)	12:15, 13:15
εβοηθησεν	G997	V-AAI-3S	357	eboēthēsen	βοηθεω	to aid or relieve	894	(3, 7, 17)	(2, 3, 149)	(252, 505, 206, 618, 160, 798, 146, 874, 221, 578, 114, 1122)	(632, 1264, 516, 1548, 400, 1999, 365, 2190, 553, 1447, 285, 2809)	12:16
γη	G1093	N-NSF	11	gē	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(11,)	(11,)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	5:13, 12:16, 13:3, 14:16, 18:1, 20:11, 21:1
γυναικι	G1135	N-DSF	494	gunaiki	γυνη	a woman; specially, a wife	461	(2, 13, 19)	(461,)	(349, 699, 285, 856, 221, 1105, 202, 1210, 305, 799, 157, 1552)	(326, 652, 266, 798, 206, 1031, 188, 1129, 285, 746, 147, 1448)	12:14, 12:16, 12:17
ηνοιξεν	G455	V-AAI-3S	253	ēnoicen	ανοιγω	to open up (literally or figuratively, in various applications)	934	(11, 23)	(2, 467)	(179, 358, 146, 438, 113, 566, 103, 620, 156, 409, 81, 795)	(660, 1321, 539, 1618, 418, 2088, 381, 2288, 577, 1511, 297, 2934)	6:1, 6:3, 6:5, 6:7, 6:9, 6:12, 8:1, 9:2, 12:16, 13:6
γη	G1093	N-NSF	11	gē	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(11,)	(11,)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	5:13, 12:16, 13:3, 14:16, 18:1, 20:11, 21:1
στομα	G4750	N-ASN	611	stoma	στομα	the mouth (as if a gash in the face); by implication, language (and its relations); figuratively, an opening (in the earth); specially, the front or edge (of a weapon)	611	(13, 47)	(13, 47)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	12:16, 13:2, 13:5, 13:6
κατεπιεν	G2666	V-2AAI-3S	471	katepien	καταπινω	to drink down, i.e. gulp entire (literally or figuratively)	1262	(3, 157)	(2, 631)	(333, 666, 272, 816, 211, 1053, 192, 1154, 291, 762, 150, 1480)	(892, 1785, 729, 2186, 564, 2822, 515, 3091, 780, 2042, 402, 3965)	12:16
ποταμον	G4215	N-ASM	611	potamon	ποταμος	a current, brook or freshet (as drinkable), i.e. running water	761	(13, 47)	(761,)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	(538, 1076, 439, 1318, 340, 1702, 311, 1864, 470, 1231, 242, 2391)	12:15, 12:16, 16:12, 22:1
εβαλεν	G906	V-2AAI-3S	93	ebalen	βαλλω	to throw (in various applications, more or less violent or intense)	863	(3, 31)	(863,)	(66, 132, 54, 161, 42, 208, 38, 228, 57, 150, 30, 292)	(610, 1220, 498, 1495, 386, 1930, 352, 2114, 533, 1396, 275, 2711)	8:5, 12:4, 12:15, 12:16, 14:16, 14:19, 18:21, 20:3
δρακων	G1404	N-NSM	975	drakōn	δρακων	a fabulous kind of serpent (perhaps as supposed to fascinate)	975	(3, 5, 13)	(3, 5, 13)	(689, 1379, 563, 1689, 436, 2180, 398, 2388, 603, 1578, 310, 3063)	(689, 1379, 563, 1689, 436, 2180, 398, 2388, 603, 1578, 310, 3063)	12:3, 12:4, 12:7, 12:9, 12:13, 12:16, 12:17, 13:2, 13:11
